content,actual_label,actual_name,predicted_label,predicted_name,prob_normal,prob_smishing
국회의원들 답답해 머하는건지ㅜㅜ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
애미없는짱깨 떼놈들ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
요년도 닭년머리하고 똑갇군아,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
개똥싸는 소리하구있네! 웃기지도 않네,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
99억에계약하는거아닌가ㅋㅋ백억이러면사람들ㅇ이욕하니까,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
단두대를 단 두대만 설치해달라!!,1,일반 문자,2,피싱/스미싱 문자,0.3732733450764456,0.6267266549235547
닭정권의 마무리기술,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
시청률도 찬란하였다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
구라치고있네 게토레이들,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
두산의 오버맨들때문에우리의 서승화선수 주눅들면 안됩니다..,1,일반 문자,2,피싱/스미싱 문자,0.04100697066963395,0.9589930293303652
꼴갑들한다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
정신나간애들이많네..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
과한 영어사용 눈살찌푸려지는건 나뿐인가,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
검.경은 몇명이나 희생됐는지?,1,일반 문자,2,피싱/스미싱 문자,0.12761716810201837,0.8723828318979812
윤균상나오면 안본다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
유행지난지가 언젠데ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
일주일에 몇시간 일하는데. 아직배도 안불러놓고. 광복절에 일본가있고 언플작작해라.,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
새벽12시에 눈온대매?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
백구가 무더위에 지쳤어요 비와야해요!!!꼭,1,일반 문자,2,피싱/스미싱 문자,0.30725178503498296,0.6927482149650169
개떡같이 생겨가지구 거짓말은..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
할건하고가소,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
도깨비 진짜잼있어용,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
이런애들만 있냐ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
가입하면 *만입금하면 또 *만ngg⑤.com디오_℃A_Sl_N★,2,피싱/스미싱 문자,1,일반 문자,0.8782844026923938,0.12171559730760641
축구 크로스 승패┿언옵가능미겜.가상 바.캬랴 술롯쳣갑포**%┿치킨tel mon***㉸똑 돋보기 몬실장검색,2,피싱/스미싱 문자,1,일반 문자,0.5993727039407711,0.40062729605923053
한나라의대통령으로써 부끄럽지도않냐?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
HOTELKBO 개막 기념첫 **%**.****:** ~ **:**hoho**.ⓒoM,2,피싱/스미싱 문자,1,일반 문자,0.734791108808872,0.26520889119112556
허허허 민심이 떠났으니 미국으로 돌아가세요,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
한미일군사동맹을 철회하자고? 저러니 빨갱이소리를 듣지,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
부대생활 같이했던 선후임들은 권혁수이름만 들어도 욕부터 나올텐데ㅋㅋㅋㅋㅋ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
일반국민들께선박근혜를 정상적인 사고른 가진자로속고살아왔어요,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
잠이안와요..... ㅠㅠㅠㅠㅠㅠ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
각성근개막장영화해도되겟내개욕하게,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
정말나라가 미쳤구나,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
하청직원 몇명더 고용할수 있는돈으로 순실이딸년 말사준거냐?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
댓글좀봐 결혼하기싫어,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"아우, 티비좀 나오지마, 짜증나니께",1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
내년 FA대박내려고 이번년도에 미친듯이던지겠네,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
화형하면 안될까..,1,일반 문자,2,피싱/스미싱 문자,0.40997981320755295,0.5900201867924463
농가탓을 하다니 제정신인가?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
학원그리다니고공부해도저정도. 주입식이니까저러지하기싫은데억지로시키니까~~,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"음마~

지금 바뻐요?

아니 새로한게 아니라 지금
핸드폰액정이 깨져서 피씨로
올랏더니 이렇게 됏어

액정이 꺠졋는데 또 이런걸
보내 ㅋㅋ

엄마 네이버 아이디 있지?

아 아는선배가 문상을 대신
좀 사달라고 해서 ㅠㅠ

나한테 입금까지 다
한상태인데

못보내주고잇어 ㅠㅠ

왜?

핸드폰이 돼야 돈을
돌려주던 하지 ㅠㅠ

그게 나쁜거야 ?

왜?

상세하게 알려줘

나 별로 잘 모르거든

문화상품권

서점에서도 판다든데

엄마 몰라

여자라고

엄마 도와줘 이번만

예전에 신세도 좀 졋던
선배인데

응?

엄마가 좀 인터넷으로사 사줘 
네이버로

이번만 해주자

피씨방에서는 어케사 ?",2,피싱/스미싱 문자,1,일반 문자,1.0,7.440874587891896e-33
할말이없다.개 똘들....,1,일반 문자,2,피싱/스미싱 문자,0.2569289303020888,0.7430710696979113
로얄주소▶️ 한나라.comV-리그**:**KB손해보험:우리카드KBL**:**전주KCC: 원주DB,2,피싱/스미싱 문자,1,일반 문자,0.9094214406011911,0.0905785593988108
바람불면꺼진다며,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
낙태도 살인이야. 정신차려,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
꼭촛불집회 하루전날 힘을주네 똥멍청,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 사기꾼 바끄네 니가인간이냐?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
그중 친박이 최고지.,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
너가트믄 가겠냐 18년,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
괴물의 마지막 발악,1,일반 문자,2,피싱/스미싱 문자,0.2578456654909566,0.7421543345090441
장시호에게 지시 받은적이 없다면..최순실한테 지시받았냐?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
개호구 동네북일세~~,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
참ㅡ뱀같은 사람이구만ㅎㅎ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
고물 사용하는것도자랑이냐 ..?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
서민들 등꼴휘는짓만하고있네 ~!!,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
인간백정이 따로 없구먼..,1,일반 문자,2,피싱/스미싱 문자,0.4809175838749743,0.519082416125025
근혜랑 어울리다보니 이재용씨도 닭스러워지고 있네요,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
귀요미들,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"이번 국회에선 방산비리및경제사범,산업스파이들은 가중처벌할수있도록 법개정해라!",1,일반 문자,2,피싱/스미싱 문자,0.34259958875650914,0.6574004112434901
"엄마 바뻐 ?

나 지금 폰이 고장나서 수리 맡기고 컴으로 카톡 하고있어

어 안대 수리 맡겻어

엄마 머한느데?

낼 오전 쯤에 찾을수 잇을거야

언제 집에가는데/.?

문상필요하다니깐

엄마 사주면 안대?

ㅎㅎ

문화상품권 엄마

나 폰 없어서 살수없어서 그래

위메프서 사면 10장

9만원이야

위메프서 사

아니 92000짜리야

위메프서 문화상품권 검색하면 나와

이런거

이거 사면 대 10장 그리고 결제하면 핀번호가 엄마 폰으로 올거야 그걸 나한테 보내줘

엄마 부탁할게

엄마

삿어?

엄마

나 컴터로 올라서 안들려

어딘데?

???안왓어?

엄마

어 맞아

낼 입금해 줄거니깐",2,피싱/스미싱 문자,1,일반 문자,0.9995204221107789,0.00047957788918113006
퇴진하겟냐 끌어내려야지,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
만들더라도 교육용으로 만드니깐 개노잼되는거지...,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"라디오스타 게스트 2대마왕: 고영욱, 강인, 조형기",1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
근데남친은 도통풀생각을안하네..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
금메달은 취소안하냐,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
왜그러세요. . . . . . . .,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
대가리에똥만들은새끼야,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
채령이 뺨때려줄사람,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
이년 입이 핵폭탄이다 꼭 잡아라,1,일반 문자,2,피싱/스미싱 문자,0.30725178503498296,0.6927482149650169
턱으로 수박도 깨겠다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
주원이 아담한여자를 좋아하는구나~,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
안타까운건 사실이지만 자업자득이다.,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
애초 공식적으로 결혼도 안한여자를 대통령으로뽑은게 잘못임...,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
꼬우면니들이하세요,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
뭐하시는집단들인가,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
제2 광주폭동을 횃불로 승화 시킵시다.,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
이번기회로 파업노조원들 다제명시켜라시민의발목잡는넘들 바로해고조치해야한다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
대한민국 종북좌빨 및 간첩이 222만명,1,일반 문자,2,피싱/스미싱 문자,0.18994052855849045,0.8100594714415097
현대차사면 안되겠다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
2억짜리 밑으로는 가오잡지말고 조용히타고다녀라...,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"부패, 무능력은 세계공통",1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
다르던 말던 안볼거,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"엄마 바빠?

나폰액정나가서 수리 맏겼어

폰수리맏기고 컴퓨터로 접속했어
ㅠㅠ

저녁쯤 대야폰 찾을수 있대

엄마

지금 인터넷 뱅킹가능해?

일땜에 돈보낼곳이 있는데
공인인증이 안되서 그래

폰찾는대로 바로 보내줄께

응 근데 은행 갈려면 시간오래 걸려 ?

500정도 되는데 가능하겟어?

그리고 이모 계좌번호 보내달라고해
저녁 쯤에 보내줄테니깐

???이 이모부가사무실  가는데
얼마나 걸린데 ?

그리고 받을계좌 번호 일단 지금 보내 달라고해 메모해놓게

아직이야 ?

엄마",2,피싱/스미싱 문자,1,일반 문자,0.9999999999392912,6.071645122735974e-11
쾌청같은소리하네.시력검사를 제대로받아보셔야될듯,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
2천원이면 탈만하겠던데 만오천원인가 2만원이었음,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
꼭 명승부로 우승을!,1,일반 문자,2,피싱/스미싱 문자,0.30725178503498296,0.6927482149650169
인간문화재 할머니 병신춤 계승하러 그룹 그만뒀나,1,일반 문자,2,피싱/스미싱 문자,0.0861052732477597,0.9138947267522399
김연아 욕은 팬들이 먹인다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
다음은 법원탄핵가자,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
김무성 의원직 은 사퇴하라,1,일반 문자,2,피싱/스미싱 문자,0.07022408168826076,0.9297759183117396
형님커피한잔~코드명:황금삼품**장 바로두륌gam**쩌엄콤,2,피싱/스미싱 문자,1,일반 문자,0.5656999381114051,0.434300061888588
역시꾹다문 미꾸라지주딩이,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
니들이뭔데?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
고여있는 물은 썩는법이지,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
cctv도 없다면서?특검조사실에?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
해결같은소리하구있네,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
세계2차대전은 is 전쟁일듯,1,일반 문자,2,피싱/스미싱 문자,0.03683993230789865,0.9631600676921016
한국배구 망친장본인이다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
도둑놈의 자손들,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
술먹고 운전해서 청와대로...,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
그전에는 하루에 세번씩이나 전화오고아무리 바빠도 몰래라도 전화하던 남자친구인데요,1,일반 문자,2,피싱/스미싱 문자,0.4809175838749743,0.519082416125025
강호동 개시끄럽다 ㅁㅊ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
트랙터 움직이는 기름이 우리가낸 세금인데.. 경찰도알껀데 ..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
프링클마시고 EXID 몸매처럼 돼야지,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"엄마 뭐해?나 핸드폰 액정이나가서 수리센터에 수리맡기고 전에 내 명의로 가입해놨던 인터넷 문자 사이트로 엄마한테 문자 하는거야 급하게 부탁이 있어! 컴퓨터 문자사이트로 하는거라 문자만 가능해 통화가 안되니깐 확인하면 답장줘~

엄마 나 급한일이 있어서 그래 문자로 하기 불편하니까 일단 01027693385 이번호로 카톡 추가해줘 인터넷으로 카톡하나 만들었어

엄마 지금 컬쳐랜드 회사에서 구글기프트카드 재테크 땜에 이벤트진행중인데 편의점 가면은 구글기프트 카드 파는거 있어~ 이벤트 한도 소진되면 안되니까 급해서 그래!

구글기프트카드 10만권이나 20만권으로 80만원치 구매좀해줘 80만원치 사면 수수료 
16만원 벌수있거든
 부탁좀 할게~ 엄마가 먼저 편의점가서 구글기프트카드 구매해주라 구매한 금액은 폰수리 끝나고 바로 보내줄게 부탁 좀 할게~

예배 끝나고 여기 카톡으로 얘기해줘 엄마

웬만한 편의점에는 다 있어

일단 예배 끝나고 카톡줘 엄마

현금으로만 구매가능해 엄마

아냐 엄마 예배 끝나고 카톡줘 내가 지금 이거 한다고 친한선배네 집에 왔는데

선배는 구글 키프트 사러 편의점에 가고 없어

돈 보내지마 ~

돈이 필요한게 아니야

한가할때 편의점에 다녀와

응",2,피싱/스미싱 문자,1,일반 문자,1.0,2.6083017501156463e-21
서민 쥐어짜는 정책은 유럽 따라가지만 최저 시급 만원으로 인상하는 친서민 정책은 절대 안따라감.,1,일반 문자,2,피싱/스미싱 문자,0.07983169645374147,0.9201683035462573
트럼프를 왜좋아해?????,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
미쿡가서 재판이나 받으시지?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
그만새로고침해,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
와진짜 사형시켜야한다고 생각해요,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
김옹이랑 같이할 코치들이있나?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
자 헬조선도 시작합시다,1,일반 문자,2,피싱/스미싱 문자,0.09089211750952256,0.9091078824904774
본인불찰이네 누굴탓해,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
무슨말도 못믿겠는데,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
제 마음속에있는 악이 사라져줬으면하네요,1,일반 문자,2,피싱/스미싱 문자,0.16151958278829373,0.8384804172117063
10년을있든20년을있든돈더준다는데안가는넘이멍청한거지,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
대단하네...인력과 자본이 많으니 안되는게 없구나..,1,일반 문자,2,피싱/스미싱 문자,0.4013951344609343,0.5986048655390663
교사직위박탈시켜라!!,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
새로운 제국주의 시작인가,1,일반 문자,2,피싱/스미싱 문자,0.054735334975733047,0.9452646650242676
키가 190은되보임 여긴 장남만 괜찮고 나머진쩌리인듯,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
닭을한번끓여서 씻으란소리같은대?~~,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
애꿎은 선수나 죽이지 마시고 체계적인 관리나 하세요,1,일반 문자,2,피싱/스미싱 문자,0.10240388173411204,0.897596118265887
로얄주소▶️ 한나라.comV-리그**:**KB손해보험:우리카드KBL**:**전주KCC: 원주DB,2,피싱/스미싱 문자,1,일반 문자,0.9094214406011911,0.0905785593988108
니본도를 아갈에서똥고까지쳐눌테다~~,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
세차만하고나면 비오냐ㅠㅠ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
온라인마권 업체정시타임마감준수 선명한 화질**+[*]만wdr**** 쪔 com온라인마권 쪔 kr,2,피싱/스미싱 문자,1,일반 문자,0.958707343182325,0.041292656817684605
날은 해뜨고좋은데 미세먼지는 최악 이런데도 애데리고 나다니는 부모는 뭐임?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
좌좀에 개량한복 어울리게 생긴듯,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
"누나 머해 지금 바뻐?

그럼 머하나만 부탁해도돼누나

나지금 공인인증서 오류떠서 이체가 안돼서 그러는데 누나 나대신 송금98만해줄수있어 ?

5시전으로 이체해줄께

바로송금되는거지?

곧줘

한번만 부탁하자

농협 2511023803022 류이스

여기로 보내줘 누나

사고쳣어

그걸 알아서뭐하게

 누나

야

농협 2511023803022 류이스

빨리 돈보내

농협 2511023803022 류이스

농협 25111035803022 류이스",2,피싱/스미싱 문자,1,일반 문자,0.9998484845084088,0.0001515154915888866
불만들이 그득하구나 투덜이 스머프 ㅍㅎㅎ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
월급대비 물가는 세계1위,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
갤노트세븐을쓰도록해같이보내버리게,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
핵맞을짓안하면 핵안맞지ㅋㅋ 원숭이들 날뛰다가 처맞고 찡찡대기는,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
